,term,definition,break_down
273,Cash Flow Underwriting,Insurance companies may use cash flow underwriting as a pricing strategy when they price an insurance product below the rate of premium required to assume the cost of expected losses. The purpose of this strategy is to generate substantial investment capital from the increased business which comes from the lower pricing. Cash flow underwriting is a risky pricing strategy. ," Cash flow underwriting is a more common tactic in a softmarket when a weak economy makes potential insurance customers price sensitive. To stand out from the market competitionan insurance company may lower their premiums. However, at a particular point, thepremium will no longer cover the anticipated risk of underwriting the policy."
274,Cash Surrender Value,"The cash surrender value is the sum of money an insurance company pays to a policyholder or an annuity contract owner in the event that his or her policy is voluntarily terminated before its maturity or an insured event occurs. This cash value is the savings component of most permanent lifeinsurance policies, particularly whole life insurance policies. It is also known as ""cash value,"" ""surrender value,""and ""policyholder's equity.""","Cash surrender value applies to the savings element of whole life insurance policies payable before death. However, during the early years of a whole life insurance policy, the savings portion brings very little return compared to the premiums paid. Cash surrender value is the accumulated portion of a permanent life insurance policy's cash value that is available to the policyholder upon surrender of the policy. Depending on the age of the policy, the cash surrender value could be less than the actual cash value. In the early years of a policy, life insurance companies can deduct fees upon cash surrender. Depending on the type of policy, the cash value is available to the policyholder during his lifetime. It is important to note that surrendering a portion of the cash value reduces the death benefit."
275,Cash Value Accumulation Test (CVAT),Cash value accumulation test (CVAT) is a test for determining whether a financial product can be taxed as an insurance contract rather thanan investment.The cash value accumulation testis used to make sure that the cash value of the insurance policy does not exceed the present value of all future premium payments on the policy.,"Being able to pass the cash value accumulation test (CVAT) is incredibly important to a policyholder as well as the insurer. If an insurance product fails to pass, it is no longer considered an insurance productand is thus taxed like an investment. Insurance policies are able to grow in value on a tax-deferred basis, with death benefits being exempt from income tax. Most other investments are taxed as ordinary income, meaning that failing to pass the test will lead to a higher tax rate."
276,Cash Value Life Insurance,"Cash value life insurance is permanent life insurance with a cash value savings component. The policyholder can use the cash value for many purposes, such as a source of loans, as a source of cash, or to pay policy premiums.",
277,Casualty And Theft Losses,"Casualty and theft losses are deductiblelosses that arisefrom thedestruction or loss of a taxpayer's personal property. To be deductible, casualty losses must result from a sudden and unforeseen event. Theft losses generally require proof that the property was actually stolen and not just lost or missing.","Casualty and theft loss deductionsare only allowed by the Internal Revenue Servicefor one-off events that are out of the ordinaryand not a routine part of everyday life. The event also must be something that a person wasnot engaged with when it occurred. Natural disasters would qualify, including earthquakes, fires, floods, hurricanesand storms. Even though a loss may have been sustainedby a natural cause, a loss cannot be claimed for something that occurred over time. An example of this would be property erosion, because the process is gradual."
278,Casualty Insurance,"Casualty insurance is a broad category of coverage against loss of property, damage or other liabilities. Casualty insurance includes vehicle insurance, liability insurance, theft insurance and elevator insurance.","An important type of casualty insurance for businesses is workers' compensation insurance, which protects a company from liabilities that arise when a worker is injured on the job. Another important typeof casualty insurance isliability insurance.Liability lossesare losses that occur as a result of the insureds interactions with others or their property.For homeowners or car owners, it's important to have casualty insurance as damage can end up being a large expense."
279,Cat Spread,"A cat spread is a type of derivative traded on the Chicago Board of Trade (CBOT) that takes the form of an option on a catastrophe futures contract. In other words, a cat spread is basically a call option spread bought by insurance companies on catastrophe futures contracts. Purchasing a cat spread involves buying or selling a call option whose underlying asset is a catastrophe contract, while simultaneously selling or buying the same number of call options at a higher strike price. A cat spread is used by insurance companies to hedge risk coverage of catastrophic events.","Consider aninsurance company that buys a cat spread on a catastrophe futures contract with an expectation that the loss ratio on catastrophic events will fall within the range of 20to 40 percent. If losses fall within that range, the insurance company would exercise the option and sell the contract, enabling the company to make a profit which will be used to offset the losses. However, if the loss ratio does not fall within the 20to 40 percentrange, the option will expire at zero and the only thing the company has to lose is the original investment."
280,Catastrophe Accumulation,Catastrophe accumulation is a term used in the insurance industry that refers to the losses that an an insurer or reinsurer may face across a geographic area from a natural disaster.,"Catastrophe accumulation is calculated from a wide range of losses and involves partial loss to total loss across a potentially large number of policies. Normally, insurers and reinsurers absorb individual losses from claims relatively easily. The loss severity is typically low compared to the total value of all premiums. A natural disaster, however, can result in losses far exceeding total premiums. Because natural disasters are rare, it is easy for insurers and reinsurers to underestimate the losses that can occur, and thus require from the insured a lower premium than the risk actually warrants."
281,Catastrophe Equity Put (CatEPut),"A catastrophe equity put (CatEPut) is an option purchased by an insurer allowing it to sell its own stock at a certain price in the event insurance losses pass a specific threshold. In the event of a catastrophic event, CatEPuts can help insurance companies cover their increased claims.","Insurers plan on a certain number of claims to be made over the course of the year, and set aside money to ensure they can pay those claims. In some cases, so many claims are filed that the insurer may not have sufficient funds to cover its claims obligations. For example, in a year where several catastrophic hurricanes bring devastating flooding to the United States, an insurer that underwrites homeowners policies could face bankruptcy."
282,Catastrophe Excess Reinsurance,Catastrophe excess reinsurance protects catastrophe insurers from financial ruin in the event of a large-scale natural disaster.,"Catastrophe excess reinsurance protects insurance companies from the financial risks involved in large-scale catastrophic events. The size and unpredictability of catastrophes force insurers take on a tremendous amount of risk. Although catastrophic events happen infrequently, when they do happen they tend to cover wide geographic areas and cause large amounts of damage. When an insurer encounters a large number of claims all at once, the losses potentially could cause it to restrict new business or cause it to refuse to renew existing policies, limiting its ability to recover."
283,Catastrophe Futures,"Catastrophe futures are futures contracts traded on the Chicago Board of Trade (CBOT). These futures contracts are used by insurance companies to protect themselves against future catastrophe losses. The value of a catastophe futures contract is equal to $25,000 multiplied by the catastrophe ratio for the quarter. The catastrophe ratio is a numerical value provided by the CBOT every quarter.","Catastrophe futures started trading on the Chicago Board of Trading (CBOT) in 1992. The value of a catastrophe future contracts increase when catastrophe losses are high and decrease when catastrophe losses are low. In the event of a catastrophe, if losses are high, the value of the contract goes up and the insurer makes a gain that hopefully offsets whatever losses that might be incurred. The reverse is also true. If catastrophe losses are lower than expected, the value of the contract decreases and the insurer (buyer) loses money."
284,Catastrophe Insurance,"Catastrophe insuranceprotects businesses and residences against natural disasters such as earthquakes, floods and hurricanes, and against man-made disasters such as terrorist attacks. These low-probability, high-cost events are generally excluded from standard hazard insurance policies, which makescatastrophe insurance necessary.","Catastrophe insurance is different from other types of insurance in that it is difficult to estimate the total potential cost of an insured loss, and a catastrophic event results in an extremely large number of claims being filed at the same time. This makes it difficult for catastrophe insurance issuers to effectively manage risk. Reinsurance and retrocession are used along with catastrophe insurance to manage catastrophe risk."
285,Catastrophe Loss Index - CLI,"Catastrophe Loss Index - CLI, is anindex used in the insurance industry to quantify the magnitude of insurance claims expected from major disasters. They are created by third-party firms that research natural disasters and work to provide estimates of the amount of losses from each catastrophe. The catastrophe loss index (CLI) is often used by insurance companies to supplement, or check their internal efforts to estimate the company's expected claims from each catastrophe.","These indexes help with setting aside reserves for potential claims, as well as determining where or when to send out insurance adjusters to verify insurance claims. CLIs are also used as the underlying basis for a variety of derivative securities and catastrophe bonds. Securitization of catastrophic loss risks allows insurance companies to hedge against disasters, such as hurricanes, which might otherwise threaten to deplete an insurance company's reserves."
286,Catastrophe Reinsurance,Catastrophe reinsurance is purchased by an insurance company to reduce its exposure to the financial risks associated with a catastrophic event occurring.Catastrophe reinsurance allows the insurer to shift some or all of the risk associated with policies that it underwrites in exchange for a portion of the premiums that it receives from policyholders.,"Catastrophes are extremely rareevents, so buying catastrophe reinsurance is usually a carefully considered decision for an insurance company. Catastrophes arevery unlikely to occur with frequency, but when they do, the amount of damages they cause can be mind-boggling. Without reinsurance, claims made after a catastrophe would come from the insurers operating cash flow, from debt financing, or from liquidating assets. Insurers have to balance being prepared for a low probability event and taking on premiums from issuing policies that may result in claims."
287,Catastrophic Health Insurance,"Catastrophic health insurance is Affordable Care Act-compliant medical coverage open to people under 30 and adults of any age who have a government-approved general hardship exemption. Catastrophic health insurance has lower premiums than most metal-level marketplace plans, but the highest possible deductible and out-of-pocket maximum. It makes sense for some people who have little to spend on monthly premiums, but who dont want to go without health insurance.","Catastrophic health insurance was first introduced by Senator Abraham Ribicoff in October 1973 when he proposed a bipartisan bill for catastrophic health insurance coverage. Thecoverage was meant to befor workers who were financed by payroll taxes and for Medicarebeneficiaries. Now, catastrophic health insurance availability varies by state, with some states having no plans, some having few plans and some having several options to choose from. Catastrophic plans can be PPO or HMOs, and premiums vary by insurance company and location. If you buy this type of plan, you wont be able to take advantage of any health insurance premium tax credits you might be eligible for based on your income, which means that some consumers can get better coverage at lower cost by choosing a bronze plan and using the subsidies. Is Catastrophic Health Insurance Right for You? will walk you through the decision process."
288,Catastrophic Illness Insurance,Catastrophic illness insurance is a type of coverage which protects the insured for a specific and severe health problem over the defined period. Itdiffers from other forms of health insurance in that there is limited coverage to the specifically named risk. An individual can buy the coverage as a stand-alone policy or as a rider to life insurance.,This insurance is also known as critical illness and critical care insurance. 
289,Ceded Reinsurance Leverage,"Ceded Reinsurance Leverage is the ratio of ceded insurance balances to policyholders surplus. Ceded reinsurance leverage represents the extent to which an insurance company relies on ceding risk to reinsurers. This includes ceded premiums, net balances for unpaid losses and unearned premiums.","Companies use reinsurance as a way to shift risk off of their portfolios, which they do in exchange for a portion of the premiums they earn from writing policies. Ceding risk to reinsurers is a fairly common occurrence in the industry, as it allows insurance companies to reduce their exposure to a potential surge in claims by shifting some of the obligation to another company."
290,Cedent,"A cedent is aparty inan insurance contract who passes financial obligation for certain potential losses to the insurer. In return for bearing a particular risk of loss, the cedent pays an insurance premium. The term cedent is most often used in the reinsurance industry, although the term could apply to any insured party.","Insurance firms are vulnerable to unforeseen losses due to excessive exposure to high risk entities. A reinsurer provides the cedentcompany withmultiple reductions inliability and protection against big losses. The transmission of all or some risks to the reinsurance company helps the cedentcompanymaintainits solvency margin whileenhancingunderwriting capacity by reducing the associated costs, etc."
291,Ceding Commission,"A fee paid by a reinsurance company to the ceding company to cover administrative costs and acquisition expenses. Ceding commission is most commonly found in pro rata or quota share reinsurance treaties, and may be calculated as a percentage of the reinsurance companys premium rather than a flat amount.","Insurance companies looking to reduce their risk exposure through the use of a reinsurance contract have several types of agreements to choose from. In a proportional treaty, the insurance company agrees to exchange a portion of the risk (and potential loss) associated with the policies that it underwrites with the reinsurer in exchange for a portion of the premiums. In the case of a quota share agreement, the insurance company cedes a percentage of its premium to the reinsurer. To cover the difference between the underwriting expenses that the insurance company has and the portion of premiums that it has ceded to the reinsurer that should have covered those expenses, the reinsurer pays the ceding company a ceding commission."
292,Ceding Company,A ceding companyis aninsurance company that passes the part or all of its risks from its insurance policy portfolio to a reinsurance firm. Passing off risk in this manner allows the ceding company to hedge against undesired exposure to loss and frees up capital to use in writing new insurance contracts.,"The ceding company retains liability for the reinsured policies, so although claims should be reimbursed by the reinsurance firm, if the reinsurance company defaults, the ceding company may still have to make a payout on reinsured policy risks.Insurance is a highly regulated industry which requires insurance companies to write certain semi-standardized policies and maintain sufficient capital as collateral against losses. Insurance companies can use reinsurance to allow them more freedom in controlling their operations. For instance, in cases where the insurance company does not wish to carry the risk of certain losses in a standard policy, these risks can be reinsured away. An insurer can also use reinsurance to control the amount of capital it is required to hold as collateral."
293,Centers for Medicare and Medicaid Services (CMS) ,"The Centers for Medicare and Medicaid Services (CMS) is the agencywithin the U.S. Department of Health and Human Services (HHS)that administers the nations major health care programs. Health care programs include Medicare, Medicaid, the Children's Health Insurance Program (CHIP),and the state and federal health insurance marketplaces. CMS collects and analyzes data, produces research reports, and works to eliminate instances of fraud and abuse within the health care system.","Centers for Medicare and Medicaid Servicesmanages many crucial national health care programs that affect the lives of millions of Americans.The agencys goal is to providea high-quality health care system thatensuresbetter care, access to coverage, and improved health. CMS has offices at its headquarters in Maryland and in several cities throughout the United States, including Boston, Kansas City, San Francisco and Atlanta, strategically positioned to serve each region."
294,Central Guarantee Fund,"A fund set aside by state insurance regulators to pay out claims to policyholders in the event an insurance company becomes insolvent. The central guarantee funds are accumulated from regular assessments charged to operating insurance companies. When an insurance company is declared insolvent by the state courts, regulators recover the company's remaining assets into the central guarantee fund. Remaining policyholder claims are then paid out of the fund. ","The individual consumer is ill equipped to assess the solvency of an insurance company. The use of a central guarantee fund by some state insurance regulators gives consumers piece of mind that their claims will be honored even if their insurer goes bankrupt. State insurance regulators enforce strict collateral requirements meant to ensure prudence, keep insurers solvent and limit the need for payouts from the guarantee fund. "
295,Central Loss Fund,"Central Loss fund is set aside by some states in order to cover policyholder claims if an insurance company is declared insolvent. A central loss fund is created by state insurance regulators through the collection of assessments on insurance companies operating in the state. Most states have a central loss fund of some type, however the details of their operations differ according to their respective state laws.","A central loss fund is important to protect the interests of policyholders in the event an insurance company is unable to pay claims. The states' respective insurance commissioners are responsible for overseeing insurance companies and ensuring that they maintain adequate collateral to cover expected losses. However,unanticipated catastrophes or mismanagement may arise which result in claims exceeded an insurance company's ability to pay."
296,Central Provident Fund - CPF,The Central Provident Fund (CPF) is a mandatory benefits account providing retirement earnings and healthcare for Singaporeans. Contributions to the retirement account originate from both the employee and the employer.,"The Central Provident Fund (CPF) started in 1955 as a way to assure all Singaporeans would have income and financial stability in retirement. CPF was controversial when first introduced with considerable opposition to the concept of a forced retirement program, but it became mostly popular over the years and has expanded to include healthcare and public housing assistance. Singaporeans can begin drawing from their retirement account at age 55, and similar to the Social Security system in the United States, waiting to take monies until older means more money will be in the account."
297,Certain And Continuous,"Certain and continuous is a type of annuity that guarantees a number of payments, even if the annuitant dies.If the annuitant passes away during the guaranteed period, a specified beneficiary will receive the rest of the payments. Alternatively, if the annuitant outlives the specified number of guaranteed payments, he or she would continue to receive income payments for life; however, no payments would be available to the beneficiary.","Also called C&C annuity, certain and continuous annuities are a type of guaranteed annuity where the annuity issuer is required to make payments for at least a specified number of year. A common example is a 10-year certain and continuous annuity. In such a situation, monthly payments are paid to the annuitant for life. If theannuitant dies, the designated beneficiary would receive any monthly payments for the remainder of the certain period –in this case, 10 years.Otherwise, if the annuitant lives beyond the 10-year period, he or she will continue to receive monthly payments for life; however, after the 10-year period, the beneficiary would no longer be eligible for monthly payments."
298,Certificate Of Insurance ,"A certificate of insurance (COI) is a non-negotiable document issued by an insurance company or broker verifying the existence of an insurance policy and summarizing key aspects and conditions of the policy. For example, a standard certificate of insurance lists the policyholder's name, policy effective date, the type of coverage, policy limits, as well as other important details of the policy.","Situations, where liability and significant losses are of concern, require a certificate of insurance. Small-business owners and contractors often have a certificate of insurance granting protection against liability for workplace accidents or injuries. The purchase of liabilityinsurance will usually trigger the issuanceof a COI."
299,Certificate Of Need,A Certificate of Need (CON) is an endorsement that numerous states require before approving the construction of a new health-care facility. The central idea of CON legislation is the assertion that overbuilding and redundancy in health-care facilities leads to higher health-care costs.,"Certificate of Need (CON)programsare aimed at ensuring that a new hospital or nursing home is necessary, and they require state authorities to determine whether the local demand is sufficient to allow for the new construction."
300,Cession,Cession refers to the portions of the obligations in an insurance company's policy portfolio that are transferred to a reinsurer. Risk can be transferred to the reinsurer in one of two ways: proportional or non-proportional. Proportional reinsurance is an arrangement where the insurer and reinsurer share an agreed percentage of both premiums and losses. Non-Proportional reinsurance is a system by which the reinsurer pays only when losses are over an agreed-upon amount.,"The reinsurance industry has become increasingly sophisticated due to competition within the insurance industry. Reinsurance creates an opportunity for insurer and reinsurers to profit at each others' expense, based on the accuracy of the actuarial calculations, which price the risk incurred. For example, suppose a reinsurer believes the risk of loss on a certain coverage is less than is actually the case. If an insurer has a more accurate risk model, he can recognize that a reinsurer is undercharging for this coverage. In this case, the insurer simply sells the policies to customers at the higher rate and buys reinsurance at the lower rate, locking in an arbitrage profit."
301,Cestui Que Vie,"Cestui que vie is French for he who lives. Itis a legal term for an individual who is thebeneficiaryof a trust or insurance policy, with rightsto property and the income and profits that the property provides.","Cestui que vie as a legal concept dates to the medieval period, specifically England. During this time, the owners of farms and other properties could be absent for extended periods of time as they traveled, whether for business or religious purposes. It became important to ensure that family members, business partners or tenants could use the property without fear of it being expropriated by feudal lords. While the individual was away, a trustee took care of the land, but did not retain legal ownership over the property. The trust often relied on a good faith understanding between the parties."
302,Chain Ladder Method (CLM),The Chain Ladder Method (CLR) is amethod for calculating the claims reserve requirement in an insurance companys financial statement. The chain ladder method (CLM) is used by insurers to forecast the amount of reserves that must be established in order to cover future claims. This actuarial method is one of the most popular reservemethods.,"The chain ladder method calculates incurred but not reported (IBNR) loss estimates, using run-off triangles of paid losses and incurred losses, representing the sum of paid losses and case reserves.Insurance companies are required to set aside a portion of the premiums they receive from their underwriting activities to pay for claims that may be filed in the future. The amount of claimsforecasted, along with the amount of claims that are actually paid, determine how much profit the insurer will publish in its financial documents."
303,Chain Of Title,"Chain of title is the official ownership record of a property or asset. Chain of ownership gets its name from its sequential nature; a chain of title traces historical title transfers from the current owner back to the original owner. Due to their critical importance in establishing ownership of a property or asset, rigorous and accurate title records are generally maintained by a centralized registry or system.","Chain of title has considerable significance in real estate. In a real estate transaction, the chain of title is researched on behalf of the buyer by a title company, which summarizes all title transfers and encumbrances in a title report. Title insurance is used by buyers to protect against financial loss ensuing from errors in the title report."
304,Channeling,"Channeling is a commercial insurance policy which insures employees and affiliated personnel under one policy, rather than requiring them to each have their own policy.","Channeling is most commonly associated with hospitals and medical facilities, which insure their doctors and medical staff under a general liability policy.Physicians, nurses, and the medical staff working at a hospital stand the risk of one day being named in a lawsuit, such as a medical malpractice lawsuit. These lawsuits can be expensive to defend against, which is why medical professionals often purchase professional liability insurance to retain coverage. When a doctor and the hospital are under separate policies, the claimant may name both the doctor and the hospital in the suit. This can create a situation in which the hospital seeks to push blame on the doctor in order to reduce its risk exposure, which can lead to an adversarial relationship once the claim is settled."
305,Chaplain Malpractice Insurance,"Chaplain malpractice insurance is liability insurance that provides coverage for chaplains, priests, and other clergy members. Chaplain malpractice insurance, also called priest malpractice insurance, more generally covers claims made against a professional for counseling services that a clergy member may provide.","Chaplain malpractice insurance protects against claims of malpractice caused during counseling activities. While not considered to be in the same professional field as a therapist or psychologist, chaplains and other members of the clergy are often called upon to provide counseling services to members of their organizations. Counseling services may relate to marriage and family matters, but may also include other types of privileged exchanges of information between the clergy and other individuals and groups.For example, a chaplain may have provided counseling to a married couple that was trying to avoid divorce. If the couple ultimately goes through with the divorce, they may sue the chaplain for not providing the proper guidance that could have helped them avoid the legal expenses and mental anguish."
306,Charging Order,"A charging order is a court-authorized right granted to a judgment creditor to attach distributions made from a business entity, such as a limited partnership (LP) or limited liability company (LLC). The debtor will be a member, partner, or the owner of the business entity.","The charging order is usually limited to the dollar amount of the judgment and is similar to garnishment of wages or income. It does not give the creditor management rights in the business entity. Nor can the creditor interfere in the management of the business to which the debtor is a partner,member, or owner.​​​​​​​"
307,Charitable Gift Life Insurance,"Charitable gift life insurance is amethod of contributing to charity by taking out life insurance on yourself with the charity as a beneficiary. Using charitable gift life insurance may allow donors to amplify their giving power. Rather than giving large cash gifts as part of a will, some donors find it easier to simply pay the life insurance premiums.","Using charitable gift life insurance means the donor does not get a tax deduction for the premiums paid. However, the amount of the death benefit paid to the charity will be deductible for estate tax purposes. Charitable gift life insurance may also be less likely to cause probate disputes, since the intention to make the gift is clearly laid out by the insurance contract."
308,Charitable Split-Dollar Insurance Plan,"A charitable split-dollar insurance plan is a type of life-insurance arrangement in which a donor gifts money to a charitable organization so the organization may in turn invest that gift in a life insurance policy for the donor. When the donor dies, the benefits of the insurance policy go to the charity and to the donors heirs. The initial agreement between the donor and the charity should specify the specific breakdown of the split.","This type of life insurance arrangement originally gained popularity for its tax benefits. The charitable donation saved the donor from paying taxes on the charitable gift. Meanwhile, the donors heirs would be exempt from paying taxes on the money they inherited through the life insurance policy."
309,Chartered Insurance Professional (CIP),"A Chartered Insurance Professional (CIP) is a designationthe Insurance Institute of Canada grants to agents and other professionals in the property and casualty insurance industry. This certification recognizes expertise, knowledge and compliance with ethical standards. The Institute created this designation as a way for agents to demonstrate professional standing to both employers and clients.​​​​​​​","An applicant must meet several requirements to earn a designation as aChartered Insurance Professional (CIP). Many traditional and online schools offer courses to help individuals gainthe knowledge and expertise to work as agents, underwriters and claims adjusters.The curriculum for the CIP certification program includes both mandatory and elective courses. Applicants must:"
310,Chartered Life Underwriter (CLU),"A chartered life underwriter (CLU) is a professional designation for individuals who wish to specialize in life insurance and estate planning. Individuals must complete five core courses and three elective courses, in addition tosuccessfully passingeight 100-question, two-hour examinations in order to receive the designation.The required coursetitles includeFundamentals of Insurance Planning,Individual Life Insurance,Life Insurance Law,Fundamentals of Estate PlanningandPlanning for Business Owners and Professionals. Other course topics includefinancial planning, health insurance, income taxation, group benefits, investmentsand retirement planning.","Financial planners with a CFP designation will often earn the CLU designationto demonstrate their expertise in the areas of life insurance and estate planning. Having additional knowledge in these areas gives financial planners a competitive edge over other planners with fewer credentials.The CLUdesignation is one of the oldest and most respected credentials in financial services, dating back to the late 1920s. It represents a thorough understanding of a broad array of personal risk management and life insurance planning issues and stresses ethics, professionalism, and in-depth knowledge in the delivery of financial advice."
311,Chartered Property Casualty Underwriter (CPCU),"Chartered Property Casualty Underwriter (CPCU), is a professional credential earned by individuals who specialize in risk management and property-casualty insurance. The Chartered Property Casualty Underwriter, also called CPCU, credential is most likely to be earned by insurance agents and brokers, insurance claims representatives, risk managers, and underwriters. It is offered by The Institutes.","To obtain the CPCU credential, an individual must pass a number of classes covering insurance and risk management topics. Required coursework includes four core courses – foundations of risk management and insurance, insurance operations, business law for insurance professionals, and finance and accounting for insurance professionals. Additionally, three courses must also be taken in either commercial lines or personal lines, and an elective course chosen by the candidate must be completed. Electives courses include those relating to techniques, practices, and strategies used in the insurance and risk management industry."
312,Chattel Mortgage Non-Filing Insurance,Chattel mortgage non-filing insurance is an insurance policy covering losses that result from a policyholder being unable to secure possession of property used as collateral in a chattel mortgage.,"Chattel mortgage non-filing insurance is purchased by banks and other financial institutions to provide them with a financial recourse in the event of a loss, and covers physical property that can be moved."
313,Childrens Health Insurance Program (CHIP),"The Childrens Health Insurance Program (CHIP) provides medical coverage for individuals under age 19 whose parents earn too much income to qualify for Medicaid, but not enough to pay for private coverage. Congress passed CHIP in 1997 during the Clinton administration.","The Childrens Health Insurance Program (CHIP) is a U.S. federal healthcare program administered and named differently by each state. For example, the state of New York State calls its program theChild Health Plus whileArkansas calls its program ARKids. Similar to the way Medicaid works, the federal government provides matching funds to each state. Responsibility for managing CHIP programs falls under the states Medicaid administration."
314,Civil Authority Clause,"A civil authority clause, also known as a public authority clause, is an insurance policy provision which outlines how the loss of business income coverage applies when a government entity denies access to the covered property.","One of the primary responsibilities of civil authorities (local, state, or federal governments) is protecting individuals and businesses, especially from catastrophes, such as hurricanes, wildfires, or floods. A civil authority clause also protects an insured from damages caused by firefighters and police officers when dealing with a situation on a property."
315,Civil Commotion,"A civil commotion is a public gathering of a large number of people that results in property damage. Civil commotion generally refers to a revolt or riot by a large number of people that occurs in a public space. Typically, some participants in the uprising seek to harm others or create other mayhem.","Most insurers include losses caused by civil commotion, although some exclude it from insurance coverage. Moreover, some insurance providers offer specialized coverage for this type of peril."
316,Claims Adjuster ,"A claims adjusterinvestigates insurance claims to determine the extent of the insuring company's liability. Claims adjusters may handle property claims involving damage to structures, and/or liability claims involving personal injuries or third-person property damage. A claims adjuster reviews each case by speaking with the claimant, interviewing any witnesses, researching records (such as police or medical records) and inspecting any involved property.","Claims adjusters verify insuranceclaims anddetermine a fair amount for settlement. These can be any type of claim, from personal injury to property damage. In property damage claims, the main role of the insurance adjuster is to carry out a detailed investigation into the claim by:"
317,Claims Reserve,"A claims reserve is the money that is earmarked for the eventual claim payment. The claims reserve funds are set aside for the future payment of incurred claims that have not been settled and, thus, represent a balance sheet liability.",The claims reserve is also known as the balance sheet reserve.
318,Claims-Made Multiplier,A factor that is used to determine the premium of a claims-made policy. Claims-made multipliers are used to determine how much credit the insured receives over a specific period in a multi-year contract. Rates in claims-made policies are modified by factors that depend on the number of years that the policyholder has had the policy.,"Insurance companies primarily use one of two methods for determining when coverage is triggered for one of their policies. An occurrence policy will have its coverage triggered on the date the loss event occurred, and does not provide coverage for events that took place before the policy came into effect. The insurer will be responsible for settling a claim even if the claim is made years after the loss event occurred. This type of policy is used in general commercial liability, auto, and homeowners policies."
319,Claims-Made Policy,"Claims-made policy refers to an insurance policy that provides coverage when a claim is made against the policy, regardless of when the claim event took place. A claims-made policy is most likely to be purchased when there is a delay between when claims occur and when they are filed. Business insurance policies are often offered as either a claims-made policy or an occurrence policy. While the claims-made policy provides coverage for claims when the event is reported, the occurrence policy provides coverage when the event occurs.","A claims-made policy is a type of insurance policy most commonly used to cover the risks associated with business operations. For example, these policies are often used to cover the potential for mistakes associated with errors and omissions(E&O) in financial statements. They are also used to cover businesses from claims made by employees, including wrongful termination, sexual harassment, and discrimination claims."
320,Clash Reinsurance,Clash reinsurance is an additional type of extended reinsurance coverage which protects a primary or ceding insurance company. An insurance company will need clash coverage in the eventone casualty loss event results in two or more claims to the primary insurer from insured policyholders. Primary insurance companies purchase clash reinsurance for their security. It reduces the maximum potential loss on either a single risk or a large number of risks. Clash reinsurance may apply to natural events or financial and corporate disasters.​​​​​​​,"Clash reinsurance extends the coverage from normal reinsurance recoveries when an insurance company faces two or more claims from multiple insured policyholders following a catastrophic event, such as a hurricane, flood, fire or earthquake.Clash insuranceis intended to protect the insurer when numerous claims arise from an out-of-the-ordinary event. Clash coverage allows an insurance company to share substantial risks, and the accompanying substantial loss, with other companies."
321,Class 1 Insurance,"Class 1 insurance covers an individual occupying an owned vehicle, an individual occupying a vehicle owned by a resident relative, a pedestrian, or a bicyclist. Class 1 insurance, also written as Class I insurance, provides benefits to qualifying parties for any insurance policy in which premiums are paid.","Class 1 insurance covers a narrow group of people. In addition to covering the named insured, the policy will also cover spouses and relatives that the insured shares a residence with. The difference between Class 1 insurance and Class 2 insurance is that Class 2 insurance extends coverage to individuals who may not be resident relatives of the policyholder, but who may have permission to use or occupy the insured vehicle. Class 1 insurance is thus a more narrow coverage because it applies to a smaller subset of people."
322,Class 2 Insurance,"Class 2 insurance covers individuals that are not specifically named in an auto insurance policy. Class 2 insurance, also often written as Class II insurance coverage, applies to uninsured motorists. Class 1 insurance covers an individual occupying an owned vehicle, an individual occupying a vehicle owned by a resident relative, a pedestrian or a bicyclist.","Class 2 insurance coverage applies to individuals who do not fall under the Class 1 coverage restrictions, meaning that Class 2 insurance applies to individuals who are not the policy owner, not the spouse of the policy owneror not a resident relative of the policy owner. Resident relatives include individuals, typically immediate family members, who share a residence with the insured. For example, a Class 2 insured individual could be a friend of the policy owner. The coverage applies as long as the Class 2 individual is traveling in a vehicle identified in the insurance policy."
323,Classified Insurance,"Classified insurance is coverage provided to a policyholder that is considered more risky and thusless desirable to the insurer. Classified insurance, also known as substandard insurance, is most commonly associated with health insurance and life insurance.","Insurance companies often underwrite policies for a variety of different risk classes. In the case of life insurance, for example, the insurer may provide coverage to healthy individuals, considering this group a low risk because they are less likely to die - an event which results in a claim being made against the policy. As a result, the insurer is more likely to offer the policy to healthy individuals at a lower premium. On the other end of the risk spectrum, the insurer may provide coverage to less healthy individuals but charge a higher premium."
324,Clean Sheeting,Clean Sheeting is the fraudulent act of purchasing a life insurance policy without disclosing a pre-existing terminal illness or disease. This type of fraud is often done with both the knowledge of the purchaser and the agent involved.,"In cases of clean sheeting, the policy is often sold shortly after it is purchased in a viatical settlement, but the money received is a lot less than what a legitimate settlement would yield. This is because there is a higher chance that the fraudulent policy will be rescinded. This type of fraud provides huge gains for the person who buys out the purchaser because he or she is able to buy the policy at a large discount, somewhere around 10% of the policy's face value."
325,Cleanup Fund,"A cleanup fund is aninsurance term referring to the final expenses associated with an individual after his/her death. The cleanup fund, or funds for final expenses, is a type of life insurance policy intended to cover the deceased's final expenses. Costs associated with funeral expenses, cemetery or mausoleum fees, and the costs of settling financial and property issues may be covered.","A cleanup fund can be a standalone policy or written in conjunction with another type of life insurance policy. The cleanup fund provides the estate with a means of paying for certain expenses related to the death, including funeral expenses and the costs of settling the remaining estate."
